name,online_order,book_table,rate,votes,location,rest_type,cuisines,cost,menu,type
Costa Coffee,No,No,3.0 /5,6,Bellandur,Cafe,Cafe,500,[],Dine-out
Kolkata Famous Kati Roll,No,No,3.3 /5,7,Bellandur,Kiosk,"Fast Food, Rolls",100,[],Dine-out
Spice Garden by Dum Mast Biryani,No,No,3.2 /5,59,Bellandur,Casual Dining,"North Indian, South Indian, Biryani, Continental",550,[],Dine-out
Hotel Aahaa,No,No,3.7 /5,24,Bellandur,Quick Bites,South Indian,200,[],Dine-out
Crack That,No,No,3.3 /5,6,Bellandur,"Food Court, Quick Bites",Continental,500,[],Dine-out
Yummy Punjabi Delight,No,No,3.2 /5,6,Bellandur,Quick Bites,North Indian,500,[],Dine-out
TRP -That Roll Place,No,No,3.6 /5,14,Bellandur,"Quick Bites, Food Court","Fast Food, Rolls",200,[],Dine-out
Ande Ka Funda,No,No,3.0 /5,21,Bellandur,Quick Bites,Fast Food,150,[],Dine-out
Sri Krishna Upahar,No,No,3.7 /5,28,Bellandur,Quick Bites,South Indian,250,[],Dine-out
Uttar Karnataka Lunch Home,No,No,3.1 /5,6,Bellandur,Quick Bites,South Indian,150,[],Dine-out
Chatorr,No,No,3.0 /5,79,Bellandur,Quick Bites,"Fast Food, Street Food",400,[],Dine-out
Maa Vooru,No,No,3.2 /5,4,Bellandur,Quick Bites,Fast Food,300,[],Dine-out
Hotel Masthi Kabab,No,No,3.1 /5,9,Bellandur,Quick Bites,"North Indian, Chinese",300,[],Dine-out
Ambur Biriyani Centre,No,No,3.2 /5,6,Bellandur,Quick Bites,Biryani,150,[],Dine-out
Spice Of Kolkata,No,No,2.8 /5,117,Bellandur,Food Court,"Bengali, Rolls, Chinese",400,[],Dine-out
Spicy Hub,No,No,3.0 /5,26,Bellandur,Quick Bites,North Indian,400,[],Dine-out
Inhouse Burger,No,No,3.6 /5,12,Bellandur,Food Court,Fast Food,400,[],Dine-out
Taste Of India,No,No,3.1 /5,5,Bellandur,Quick Bites,"North Indian, Rolls",400,[],Dine-out
Parrattha Ssinghh,Yes,No,NEW,0,Bellandur,Quick Bites,North Indian,250,"['Aloo Paneer Paratha', 'Paneer Bhurji Paratha', 'Gobi Paratha', 'Cheesy Mixed Veg Paratha', 'Egg Paratha', 'Aloo Pyaaz Paratha', 'Aloo Gobi Paratha', 'Aloo Samosa Paratha', 'Aloo Paneer Paratha', 'Aloo Corn Paratha', 'Paneer Bhurji Paratha', 'Paneer Tikka Paratha', 'Mixed Veg Paratha', 'Gobi Paratha', 'Mooli Paratha', 'Cheesy Paneer Paratha', 'Spinach Corn Cheese Paratha', 'Cheesy Mixed Veg Paratha', 'Mushroom Cheese Paratha', 'Veg n Paneer Paratha', 'Egg Paratha', 'Chicken Keema Paratha', 'Chicken Tikka Paratha', 'Chicken n Egg Paratha', 'Chicken and Cheese Paratha', 'Matha', 'Coke [500 ml]', 'Thums Up [500 ml]', 'Sprite [500 ml]']",Dine-out
